INCI|tanggal pencatatan|24 jul 1990
INCO|tanggal pencatatan|16 mei 1990
INDF|tanggal pencatatan|14 jul 1994
INDO|tanggal pencatatan|13 jan 2020
INDR|tanggal pencatatan|03 ags 1990
INDS|tanggal pencatatan|10 ags 1990
INDX|tanggal pencatatan|17 mei 2001
INDY|tanggal pencatatan|11 jun 2008
INKP|tanggal pencatatan|16 jul 1990
INOV|tanggal pencatatan|10 jul 2019
INPC|tanggal pencatatan|23 ags 1990
INPP|tanggal pencatatan|12 jan 2004
INPS|tanggal pencatatan|06 apr 2018
INRU|tanggal pencatatan|18 jun 1990
INSA|tanggal pencatatan|01 jan 1911
INTA|tanggal pencatatan|23 ags 1993
INTD|tanggal pencatatan|18 des 1989
INTP|tanggal pencatatan|05 des 1989
IPAC|tanggal pencatatan|30 jun 2021
IPCC|tanggal pencatatan|09 jul 2018
IPCM|tanggal pencatatan|22 des 2017
IPOL|tanggal pencatatan|09 jul 2010
IPTV|tanggal pencatatan|08 jul 2019
IRRA|tanggal pencatatan|15 okt 2019
ISAT|tanggal pencatatan|19 okt 1994
ISSP|tanggal pencatatan|22 feb 2013
ITIC|tanggal pencatatan|04 jul 2019
ITMA|tanggal pencatatan|10 des 1990
ITMG|tanggal pencatatan|18 des 2007
JAST|tanggal pencatatan|16 mei 2019
JAWA|tanggal pencatatan|30 mei 2011
JAYA|tanggal pencatatan|21 feb 2019
JECC|tanggal pencatatan|18 nov 1992
JGLE|tanggal pencatatan|29 jun 2016
JIHD|tanggal pencatatan|29 feb 1984
JKON|tanggal pencatatan|04 des 2007
JKSW|tanggal pencatatan|06 ags 1997
JMAS|tanggal pencatatan|18 des 2017
JPFA|tanggal pencatatan|23 okt 1989
JRPT|tanggal pencatatan|29 jun 1994
JSKY|tanggal pencatatan|28 mar 2018
JSMR|tanggal pencatatan|12 nov 2007
JSPT|tanggal pencatatan|12 jan 1998
JTPE|tanggal pencatatan|16 apr 2002
KAEF|tanggal pencatatan|04 jul 2001
KARW|tanggal pencatatan|20 des 1994
KAYU|tanggal pencatatan|04 jul 2019
KBAG|tanggal pencatatan|08 apr 2020
KBLI|tanggal pencatatan|06 jul 1992
KBLM|tanggal pencatatan|01 jun 1992
KBLV|tanggal pencatatan|25 feb 2000
KBRI|tanggal pencatatan|11 jul 2008
KDSI|tanggal pencatatan|29 jul 1996
KEEN|tanggal pencatatan|02 sep 2019
KEJU|tanggal pencatatan|25 nov 2019
KIAS|tanggal pencatatan|08 des 1994
KICI|tanggal pencatatan|28 okt 1993
KIJA|tanggal pencatatan|10 jan 1995
KINO|tanggal pencatatan|11 des 2015
KIOS|tanggal pencatatan|05 okt 2017
KJEN|tanggal pencatatan|01 jul 2019
KKGI|tanggal pencatatan|01 jul 1991
KLBF|tanggal pencatatan|30 jul 1991
KMDS|tanggal pencatatan|07 sep 2020
KMTR|tanggal pencatatan|19 jun 2017
KOBX|tanggal pencatatan|05 jul 2012
