AIMS,KETUA,Hendri Guntara,-
AIMS,ANGGOTA,Elisabeth Puji Lestari,-
AIMS,ANGGOTA,Ananda Surja,-
AIMS,Pemegang Saham,Effendi Leman,-
AIMS,Pemegang Saham,PT. Aims Indo Investama,-
AISA,Tanggal Pencatatan,11 Jun 1997,-
AISA,Sektor,Barang Konsumen Primer,-
AISA,Sub Sektor,Makanan & Minuman,-
AISA,Industri,Makanan Olahan,-
AISA,Sub Industri,Makanan Olahan,-
AISA,Sekretaris Perusahaan,Michael H. Hadylaya,-
AISA,DIREKTUR UTAMA,Lim Aun Seng,-
AISA,DIREKTUR,Charlie Dhungga,-
AISA,DIREKTUR,Nanang Rismadi,-
AISA,KOMISARIS UTAMA,Agung C. Kusumo,no
AISA,KOMISARIS,Hengky Koestanto,no
AISA,KOMISARIS,Jaka Prasetya,no
AISA,KOMISARIS,Grant Lutz,no
AISA,KOMISARIS,Komjen (Purn) Dr. Drs. H. Ito Sumardi D.S., S.H., M.H., M.M., M.B.A.,yes
AISA,KOMISARIS,Ir. R. Benny Wachjudi, MBA,yes
AISA,KETUA,Ir. R. Benny Wachjudi, MBA.,-
AISA,ANGGOTA,Rachmad,-
AISA,ANGGOTA,Budiman Arpan,-
AISA,Pemegang Saham,PT ASTA ASKARA SENTOSA,-
AISA,Pemegang Saham,PT PANGAN SEJAHTERA INVESTAMA,-
AKKU,Tanggal Pencatatan,01 Nov 2004,-
AKKU,Sektor,Barang Konsumen Non-Primer,-
AKKU,Sub Sektor,Jasa Konsumen,-
AKKU,Industri,Pariwisata & Rekreasi,-
AKKU,Sub Industri,Hotel, Resor & Kapal Pesiar,-
AKKU,Sekretaris Perusahaan,Muhammad Firman Idrus,-
AKKU,PRESIDEN DIREKTUR,RATNAWATI,-
AKKU,DIREKTUR,ANDI ANDREAS,-
AKKU,PRESIDEN KOMISARIS,DHARMITHEA KIEMAS HAMIDY,no
AKKU,KOMISARIS,LELIAWATI,yes
AKKU,ANGGOTA,Yunita E.L. Ria Sihombing,-
AKKU,ANGGOTA,Susanto Bunjamin,-
AKKU,Pemegang Saham,PT Eka Mandiri Anugerah Sejahtera,-
AKPI,Tanggal Pencatatan,18 Des 1992,-
AKPI,Sektor,Barang Baku,-
AKPI,Sub Sektor,Barang Baku,-
AKPI,Industri,Barang Kimia,-
AKPI,Sub Industri,Barang Kimia Khusus,-
AKPI,Sekretaris Perusahaan,Tjoe Mun Lie,-
AKPI,DIREKTUR UTAMA,WILSON PRIBADI,-
AKPI,DIREKTUR,JIMMY TJAHJANTO,-
AKPI,DIREKTUR,JEYSON PRIBADI,-
AKPI,DIREKTUR,FOLMER ADOLF HUTAPEA,-
AKPI,DIREKTUR,ELIUS PRIBADI,-
AKPI,KOMISARIS,BRENNA FLORENCE PRIBADI,no
AKPI,KOMISARIS,JOHAN PAULUS YORANOUW,yes
AKPI,KOMISARIS,WIDJOJO BUDIARTO,yes
AKPI,KOMISARIS UTAMA,ANDRY PRIBADI,no
AKPI,KOMISARIS,HENRY LIEM,no
